upstream_002
             x                       y                       z
   1.18681e-02             3.13103e-02             2.10900e-01
   1.18242e-02             3.09346e-02             2.10900e-01
   1.17369e-02             3.01874e-02             2.10900e-01
   1.16071e-02             2.90767e-02             2.10900e-01
   1.14314e-02             2.76167e-02             2.10900e-01
   1.11914e-02             2.58310e-02             2.10900e-01
   1.09096e-02             2.37317e-02             2.10900e-01
   1.05892e-02             2.13416e-02             2.10900e-01
   1.02235e-02             1.86910e-02             2.10900e-01
   9.81207e-03             1.58104e-02             2.10900e-01
   9.34607e-03             1.27366e-02             2.10900e-01
   8.81253e-03             9.51000e-03             2.10900e-01
   8.19810e-03             6.17327e-03             2.10900e-01
   7.49047e-03             2.77019e-03             2.10900e-01
   6.67928e-03            -6.55091e-04             2.10900e-01
   5.75655e-03            -4.05866e-03             2.10900e-01
   4.71640e-03            -7.39716e-03             2.10900e-01
   3.55682e-03            -1.06289e-02             2.10900e-01
   2.28478e-03            -1.37164e-02             2.10900e-01
   9.23696e-04            -1.66293e-02             2.10900e-01
  -4.95932e-04            -1.93417e-02             2.10900e-01
  -1.94151e-03            -2.18303e-02             2.10900e-01
  -3.37553e-03            -2.40760e-02             2.10900e-01
  -4.82858e-03            -2.60366e-02             2.10900e-01
  -6.18195e-03            -2.77298e-02             2.10900e-01
  -7.48303e-03            -2.91133e-02             2.10900e-01
  -8.69271e-03            -3.01814e-02             2.10900e-01
  -9.73166e-03            -3.09474e-02             2.10900e-01
  -1.06196e-02            -3.13912e-02             2.10900e-01
  -1.18681e-02            -3.13103e-02             2.10900e-01
  -1.21769e-02            -3.08009e-02             2.10900e-01
  -1.24302e-02            -2.99246e-02             2.10900e-01
  -1.24045e-02            -2.87745e-02             2.10900e-01
  -1.22382e-02            -2.73109e-02             2.10900e-01
  -1.19206e-02            -2.55546e-02             2.10900e-01
  -1.14477e-02            -2.35277e-02             2.10900e-01
  -1.08345e-02            -2.12486e-02             2.10900e-01
  -1.00869e-02            -1.87428e-02             2.10900e-01
  -9.20850e-03            -1.60392e-02             2.10900e-01
  -8.19766e-03            -1.31719e-02             2.10900e-01
  -7.05571e-03            -1.01759e-02             2.10900e-01
  -5.78118e-03            -7.08940e-03             2.10900e-01
  -4.37950e-03            -3.94940e-03             2.10900e-01
  -2.87591e-03            -7.86561e-04             2.10900e-01
  -1.30260e-03             2.37041e-03             2.10900e-01
   3.04758e-04             5.49391e-03             2.10900e-01
   1.90948e-03             8.55695e-03             2.10900e-01
   3.47683e-03             1.15325e-02             2.10900e-01
   4.97167e-03             1.43947e-02             2.10900e-01
   6.35937e-03             1.71192e-02             2.10900e-01
   7.61388e-03             1.96802e-02             2.10900e-01
   8.72054e-03             2.20500e-02             2.10900e-01
   9.64924e-03             2.42094e-02             2.10900e-01
   1.03942e-02             2.61332e-02             2.10900e-01
   1.09990e-02             2.77806e-02             2.10900e-01
   1.13583e-02             2.91710e-02             2.10900e-01
   1.16118e-02             3.02348e-02             2.10900e-01
   1.17823e-02             3.09505e-02             2.10900e-01
   1.18710e-02             3.13092e-02             2.10900e-01

   1.08279e-02             3.07127e-02             2.29600e-01
   1.07938e-02             3.03464e-02             2.29600e-01
   1.07259e-02             2.96179e-02             2.29600e-01
   1.06250e-02             2.85350e-02             2.29600e-01
   1.04873e-02             2.71114e-02             2.29600e-01
   1.02945e-02             2.53698e-02             2.29600e-01
   1.00682e-02             2.33222e-02             2.29600e-01
   9.81101e-03             2.09911e-02             2.29600e-01
   9.51568e-03             1.84055e-02             2.29600e-01
   9.18104e-03             1.55954e-02             2.29600e-01
   8.79779e-03             1.25962e-02             2.29600e-01
   8.35235e-03             9.44681e-03             2.29600e-01
   7.83075e-03             6.18855e-03             2.29600e-01
   7.22005e-03             2.86365e-03             2.29600e-01
   6.50915e-03            -4.85184e-04             2.29600e-01
   5.68932e-03            -3.81544e-03             2.29600e-01
   4.75383e-03            -7.08510e-03             2.29600e-01
   3.69980e-03            -1.02537e-02             2.29600e-01
   2.53314e-03            -1.32845e-02             2.29600e-01
   1.27595e-03            -1.61477e-02             2.29600e-01
  -4.27266e-05            -1.88172e-02             2.29600e-01
  -1.39172e-03            -2.12697e-02             2.29600e-01
  -2.73500e-03            -2.34858e-02             2.29600e-01
  -4.10325e-03            -2.54252e-02             2.29600e-01
  -5.38066e-03            -2.71022e-02             2.29600e-01
  -6.61426e-03            -2.84769e-02             2.29600e-01
  -7.76617e-03            -2.95429e-02             2.29600e-01
  -8.75893e-03            -3.03113e-02             2.29600e-01
  -9.61215e-03            -3.07630e-02             2.29600e-01
